"","Region","Value.properties.Country","State","n"
"805","Lee County","USA","MS",1
"806","Lee County","USA","NC",1
"807","Leflore County","USA","MS",1
"808","Lehigh County","USA","PA",2
"809","Lemhi County","USA","ID",1
"810","Lenawee County","USA","MI",2
"811","Lenoir County","USA","NC",1
"812","Leon County","USA","FL",1
"813","Levy County","USA","FL",3
"814","Lewis and Clark County","USA","MT",1
"815","Lewis County","USA","WA",2
"816","Lexington city","USA","VA",1
"817","Lexington County","USA","SC",1
"818","Liberty County","USA","GA",1
"819","Liberty County","USA","TX",1
"820","Licking County","USA","OH",2
"821","Limestone County","USA","AL",1
"822","Lincoln County","USA","ME",2
"823","Lincoln County","USA","MS",1
"824","Lincoln County","USA","NE",1
"825","Lincoln County","USA","NM",1
"826","Lincoln County","USA","OR",2
"827","Lincoln County","USA","WI",1
"828","Lincoln Parish","USA","LA",1
"829","Linn County","USA","IA",2
"830","Linn County","USA","MO",1
"831","Linn County","USA","OR",2
"832","Litchfield County","USA","CT",10
"833","Livingston County","USA","IL",1
"834","Livingston County","USA","MI",2
"835","Livingston County","USA","NY",5
"836","Livingston Parish","USA","LA",1
"837","Logan County","USA","CO",1
"838","Logan County","USA","IL",1
"839","Logan County","USA","OH",1
"840","Long County","USA","GA",1
"841","Lonoke County","USA","AR",1
"842","Lorain County","USA","OH",4
"843","Los Alamos County","USA","NM",1
"844","Los Angeles County","USA","CA",58
"845","Loudoun County","USA","VA",4
"846","Lowndes County","USA","GA",1
"847","Lowndes County","USA","MS",1
"848","Loza Municipio","USA","PR",1
"849","Lubbock County","USA","TX",1
"850","Lucas County","USA","OH",4
"851","Luna County","USA","NM",1
"852","Luzerne County","USA","PA",2
"853","Lycoming County","USA","PA",2
"854","Lynchburg city","USA","VA",1
"855","Lyon County","USA","KS",1
"856","Lyon County","USA","MN",1
"857","Mackinac County","USA","MI",1
"858","Macomb County","USA","MI",7
"859","Macon County","USA","AL",1
"860","Macon County","USA","IL",1
"861","Macon County","USA","MO",1
"862","Macon County","USA","NC",1
"863","Macoupin County","USA","IL",2
"864","Madera County","USA","CA",2
"865","Madison County","USA","AL",1
"866","Madison County","USA","ID",1
"867","Madison County","USA","IL",6
"868","Madison County","USA","IN",3
"869","Madison County","USA","KY",1
"870","Madison County","USA","NC",1
"871","Madison County","USA","NE",1
"872","Madison County","USA","NY",2
"873","Madison County","USA","TN",1
"874","Mahaska County","USA","IA",1
"875","Mahoning County","USA","OH",2
"876","Malheur County","USA","OR",1
"877","Manassas city","USA","VA",1
"878","Manatee County","USA","FL",1
"879","Manitoba","Canada","MB",4
"880","Manitowoc County","USA","WI",2
"881","Marathon County","USA","WI",1
"882","Maricopa County","USA","AZ",11
"883","Marin County","USA","CA",9
"884","Marinette County","USA","WI",1
"885","Marion County","USA","AR",1
"886","Marion County","USA","FL",1
"887","Marion County","USA","IL",1
"888","Marion County","USA","IN",1
"889","Marion County","USA","KY",1
"890","Marion County","USA","MO",1
"891","Marion County","USA","MS",1
"892","Marion County","USA","OH",1
"893","Marion County","USA","OR",3
"894","Marion County","USA","TX",1
"895","Marion County","USA","WV",1
"896","Mariposa County","USA","CA",1
"897","Marquette County","USA","MI",1
"898","Marshall County","USA","AL",1
"899","Marshall County","USA","IA",1
"900","Marshall County","USA","IN",1
"901","Marshall County","USA","KY",1
"902","Martin County","USA","FL",2
"903","Martinsville city","USA","VA",1
"904","Mason County","USA","KY",1
"905","Mason County","USA","MI",1
"906","Mason County","USA","TX",1
"907","Mason County","USA","WA",1
"908","Massac County","USA","IL",1
"909","Matanuska-Susitna Borough","USA","AK",2
"910","Mathews County","USA","VA",1
"911","Maui County","USA","HI",5
"912","Maury County","USA","TN",2
"913","Maverick County","USA","TX",1
"914","McCracken County","USA","KY",1
"915","McDonough County","USA","IL",1
"916","McDowell County","USA","NC",2
"917","McDuffie County","USA","GA",1
"918","McHenry County","USA","IL",6
"919","McKean County","USA","PA",2
"920","McKinley County","USA","NM",1
"921","McLean County","USA","IL",2
"922","McLennan County","USA","TX",1
"923","McLeod County","USA","MN",1
"924","McMinn County","USA","TN",1
"925","McPherson County","USA","KS",1
"926","Mecklenburg County","USA","NC",4
"927","Mecklenburg County","USA","VA",3
"928","Mecosta County","USA","MI",1
"929","Medina County","USA","OH",2
"930","Medina County","USA","TX",1
"931","Mendocino County","USA","CA",4
"932","Menominee County","USA","MI",1
"933","Merced County","USA","CA",2
"934","Mercer County","USA","IL",1
"935","Mercer County","USA","KY",1
"936","Mercer County","USA","NJ",8
"937","Mercer County","USA","OH",1
"938","Mercer County","USA","PA",7
"939","Mercer County","USA","WV",2
"940","Merrimack County","USA","NH",3
"941","Mesa County","USA","CO",1
"942","Miami-Dade County","USA","FL",7
"943","Miami County","USA","IN",1
"944","Miami County","USA","OH",3
"945","Middlesex County","USA","CT",4
"946","Middlesex County","USA","MA",26
"947","Middlesex County","USA","NJ",14
"948","Middlesex County","USA","VA",1
"949","Midland County","USA","MI",1
"950","Midland County","USA","TX",1
"951","Miller County","USA","AR",1
"952","Milwaukee County","USA","WI",12
"953","Mineral County","USA","CO",1
"954","Mineral County","USA","WV",1
"955","Mingo County","USA","WV",1
"956","Minnehaha County","USA","SD",1
"957","Mississippi County","USA","AR",1
"958","Missoula County","USA","MT",1
"959","Mitchell County","USA","NC",1
"960","Mobile County","USA","AL",1
"961","Moffat County","USA","CO",1
"962","Mohave County","USA","AZ",3
"963","Monmouth County","USA","NJ",13
"964","Mono County","USA","CA",1
"965","Monongalia County","USA","WV",1
"966","Monroe County","USA","FL",2
"967","Monroe County","USA","IL",2
"968","Monroe County","USA","IN",1
"969","Monroe County","USA","MI",3
"970","Monroe County","USA","NY",8
"971","Monroe County","USA","PA",3
"972","Monroe County","USA","TN",1
"973","Monroe County","USA","WI",1
"974","Montague County","USA","TX",1
"975","Monterey County","USA","CA",7
"976","Montezuma County","USA","CO",1
"977","Montgomery County","USA","AL",1
"978","Montgomery County","USA","IL",1
"979","Montgomery County","USA","IN",1
"980","Montgomery County","USA","KS",1
"981","Montgomery County","USA","MD",17
"982","Montgomery County","USA","NY",1
"983","Montgomery County","USA","OH",9
"984","Montgomery County","USA","PA",19
"985","Montgomery County","USA","TN",1
"986","Montgomery County","USA","TX",2
"987","Montgomery County","USA","VA",2
"988","Montour County","USA","PA",1
"989","Montrose County","USA","CO",1
"990","Moore County","USA","NC",2
"991","Moore County","USA","TX",1
"992","Morgan County","USA","AL",1
"993","Morgan County","USA","GA",1
"994","Morgan County","USA","IL",1
"995","Morgan County","USA","IN",2
"996","Morgan County","USA","WV",1
"997","Morris County","USA","NJ",7
"998","Mountrail County","USA","ND",1
"999","Mower County","USA","MN",1
"1000","Muhlenberg County","USA","KY",1
"1001","Multnomah County","USA","OR",3
"1002","Muscatine County","USA","IA",1
"1003","Muscogee County","USA","GA",1
"1004","Muskegon County","USA","MI",2
"1005","Muskingum County","USA","OH",1
"1006","Muskogee County","USA","OK",1
"1007","Nacogdoches County","USA","TX",1
"1008","Nantucket County","USA","MA",1
"1009","Napa County","USA","CA",3
"1010","Nash County","USA","NC",2
"1011","Nassau County","USA","FL",1
"1012","Nassau County","USA","NY",25
"1013","Natchitoches Parish","USA","LA",1
"1014","Natrona County","USA","WY",1
"1015","Navajo County","USA","AZ",2
"1016","Navarro County","USA","TX",1
"1017","Nelson County","USA","KY",1
"1018","Nemaha County","USA","NE",1
"1019","Neshoba County","USA","MS",1
"1020","Nevada County","USA","CA",3
"1021","New Brunswick","Canada","NB",5
"1022","New Castle County","USA","DE",3
"1023","New Hanover County","USA","NC",2
"1024","New Haven County","USA","CT",16
"1025","New London County","USA","CT",11
"1026","New South Wales","Australia","(Missing)",12
"1027","New York County","USA","NY",3
"1028","Newberry County","USA","SC",1
"1029","Newfoundland and Labrador","Canada","NL",1
"1030","Newport County","USA","RI",2
"1031","Newport News city","USA","VA",1
"1032","Newton County","USA","GA",1
"1033","Nez Perce County","USA","ID",1
"1034","Niagara County","USA","NY",2
"1035","Nicollet County","USA","MN",1
"1036","Nobles County","USA","MN",1
"1037","Nodaway County","USA","MO",1
"1038","Nome Census Area","USA","AK",2
"1039","Norfolk city","USA","VA",1
"1040","Norfolk County","USA","MA",16
"1041","North Slope Borough","USA","AK",1
"1042","Northampton County","USA","PA",4
"1043","Northampton County","USA","VA",1
"1044","Northern Ireland","UK","(Missing)",3
"1045","Northern Territory","Australia","(Missing)",2
"1046","Northumberland County","USA","PA",3
"1047","Northwest Arctic Borough","USA","AK",1
"1048","Northwest Territories","Canada","NT",2
"1049","Norton city","USA","VA",1
"1050","Nova Scotia","Canada","NS",9
"1051","Nueces County","USA","TX",1
"1052","Nunavut","Canada","NU",1
"1053","Oakland County","USA","MI",16
"1054","Ocean County","USA","NJ",7
"1055","Oconee County","USA","SC",3
"1056","Oconto County","USA","WI",1
"1057","Ogemaw County","USA","MI",1
"1058","Ogle County","USA","IL",2
"1059","Oglethorpe County","USA","GA",1
"1060","Ohio County","USA","KY",1
"1061","Ohio County","USA","WV",1
"1062","Okaloosa County","USA","FL",2
"1063","Okanogan County","USA","WA",2
"1064","Okinawa","Japan","(Missing)",2
"1065","Oklahoma County","USA","OK",2
"1066","Oktibbeha County","USA","MS",1
"1067","Olmsted County","USA","MN",1
"1068","Oneida County","USA","NY",2
"1069","Oneida County","USA","WI",2
"1070","Onondaga County","USA","NY",6
"1071","Onslow County","USA","NC",1
"1072","Ontario","Canada","ON",50
"1073","Ontario County","USA","NY",4
"1074","Orange County","USA","CA",28
"1075","Orange County","USA","FL",5
"1076","Orange County","USA","IN",1
"1077","Orange County","USA","NC",2
"1078","Orange County","USA","NY",11
"1079","Orange County","USA","TX",2
"1080","Orange County","USA","VA",1
"1081","Orange County","USA","VT",1
"1082","Orangeburg County","USA","SC",1
"1083","Orleans County","USA","NY",1
"1084","Orleans County","USA","VT",1
"1085","Orleans Parish","USA","LA",1
"1086","Osceola County","USA","FL",2
"1087","Oswego County","USA","NY",1
"1088","Otero County","USA","CO",1
"1089","Otero County","USA","NM",2
"1090","Otoe County","USA","NE",1
"1091","Otsego County","USA","MI",1
"1092","Otsego County","USA","NY",2
"1093","Ottawa County","USA","MI",1
"1094","Ottawa County","USA","OH",1
"1095","Ottawa County","USA","OK",1
"1096","Otter Tail County","USA","MN",1
"1097","Ouachita Parish","USA","LA",1
"1098","Ouray County","USA","CO",1
"1099","Outagamie County","USA","WI",1
"1100","Ozaukee County","USA","WI",4
"1101","Pacific County","USA","WA",3
"1102","Page County","USA","IA",1
"1103","Palm Beach County","USA","FL",8
"1104","Park County","USA","MT",1
"1105","Park County","USA","WY",1
"1106","Parker County","USA","TX",2
"1107","Pasco County","USA","FL",1
"1108","Pasquotank County","USA","NC",1
"1109","Passaic County","USA","NJ",4
"1110","Payne County","USA","OK",1
"1111","Pearl River County","USA","MS",1
"1112","Pecos County","USA","TX",1
"1113","Pennington County","USA","SD",1
"1114","Penobscot County","USA","ME",2
"1115","Peoria County","USA","IL",1
"1116","Perry County","USA","IL",2
"1117","Perry County","USA","KY",1
"1118","Perry County","USA","MO",1
"1119","Perry County","USA","PA",1
"1120","Person County","USA","NC",1
"1121","Petersburg Census Area","USA","AK",2
"1122","Petersburg city","USA","VA",1
"1123","Pettis County","USA","MO",1
"1124","Phelps County","USA","MO",1
"1125","Philadelphia County","USA","PA",1
"1126","Piatt County","USA","IL",1
"1127","Pickens County","USA","GA",1
"1128","Pickens County","USA","SC",3
"1129","Pierce County","USA","ND",1
"1130","Pierce County","USA","WA",8
"1131","Pike County","USA","AL",1
"1132","Pike County","USA","KY",1
"1133","Pike County","USA","MO",1
"1134","Pike County","USA","MS",1
"1135","Pike County","USA","PA",1
"1136","Pima County","USA","AZ",2
"1137","Pinal County","USA","AZ",5
"1138","Pine County","USA","MN",1
"1139","Pinellas County","USA","FL",2
"1140","Piscataquis County","USA","ME",2
"1141","Pitkin County","USA","CO",1
"1142","Pitt County","USA","NC",1
"1143","Pittsburg County","USA","OK",1
"1144","Placer County","USA","CA",5
"1145","Plaquemines Parish","USA","LA",1
"1146","Platte County","USA","MO",1
"1147","Platte County","USA","NE",1
"1148","Plumas County","USA","CA",1
"1149","Plymouth County","USA","IA",1
"1150","Plymouth County","USA","MA",13
"1151","Polk County","USA","AR",1
"1152","Polk County","USA","FL",1
"1153","Polk County","USA","GA",1
"1154","Polk County","USA","IA",3
"1155","Polk County","USA","MN",1
"1156","Polk County","USA","MO",1
"1157","Polk County","USA","OR",2
"1158","Polk County","USA","TX",1
"1159","Pontotoc County","USA","MS",1
"1160","Pontotoc County","USA","OK",1
"1161","Pope County","USA","AR",1
"1162","Poquoson city","USA","VA",1
"1163","Portage County","USA","OH",5
"1164","Portage County","USA","WI",1
"1165","Porter County","USA","IN",3
"1166","Portsmouth city","USA","VA",1
"1167","Pottawatomie County","USA","OK",1
"1168","Pottawattamie County","USA","IA",1
"1169","Potter County","USA","PA",1
"1170","Potter County","USA","TX",1
"1171","Poweshiek County","USA","IA",1
"1172","Preble County","USA","OH",1
"1173","Prentiss County","USA","MS",1
"1174","Presidio County","USA","TX",1
"1175","Prince Edward County","USA","VA",1
"1176","Prince Edward Island","Canada","PE",1
"1177","Prince George's County","USA","MD",12
"1178","Prince William County","USA","VA",2
"1179","Providence County","USA","RI",3
"1180","Pueblo County","USA","CO",1
"1181","Pulaski County","USA","AR",1
"1182","Pulaski County","USA","GA",1
"1183","Pulaski County","USA","IL",1
"1184","Pulaski County","USA","KY",1
"1185","Pulaski County","USA","MO",1
"1186","Pushmataha County","USA","OK",1
"1187","Putnam County","USA","IN",1
"1188","Putnam County","USA","NY",2
"1189","Putnam County","USA","TN",1
"1190","Québec","Canada","QC",10
"1191","Queen Anne's County","USA","MD",1
"1192","Queens County","USA","NY",8
"1193","Queensland","Australia","(Missing)",6
"1194","Rabun County","USA","GA",1
"1195","Racine County","USA","WI",3
"1196","Raleigh County","USA","WV",1
"1197","Ramsey County","USA","MN",4
"1198","Randall County","USA","TX",1
"1199","Randolph County","USA","IL",1
"1200","Randolph County","USA","MO",1
"1201","Randolph County","USA","NC",1
"1202","Rapides Parish","USA","LA",1
"1203","Ravalli County","USA","MT",1
"1204","Red Willow County","USA","NE",1
"1205","Reeves County","USA","TX",1
"1206","Refugio County","USA","TX",1
"1207","Reno County","USA","KS",1
"1208","Rensselaer County","USA","NY",1
"1209","Richland County","USA","OH",3
"1210","Richland County","USA","SC",1
"1211","Richland County","USA","WI",1
"1212","Richmond city","USA","VA",1
"1213","Richmond County","USA","GA",1
"1214","Richmond County","USA","NC",1
"1215","Richmond County","USA","NY",4
"1216","Riley County","USA","KS",1
"1217","Rio Grande County","USA","CO",1
"1218","Ripley County","USA","IN",1
"1219","Riverside County","USA","CA",18
"1220","Roanoke city","USA","VA",1
"1221","Robeson County","USA","NC",1
"1222","Rock County","USA","WI",3
"1223","Rock Island County","USA","IL",2
"1224","Rockdale County","USA","GA",1
"1225","Rockingham County","USA","NC",1
"1226","Rockingham County","USA","NH",3
"1227","Rockingham County","USA","VA",2
"1228","Rockland County","USA","NY",4
"1229","Rockwall County","USA","TX",2
"1230","Rogers County","USA","OK",1
"1231","Roosevelt County","USA","NM",1
"1232","Ross County","USA","OH",1
"1233","Routt County","USA","CO",1
"1234","Rowan County","USA","KY",1
"1235","Rowan County","USA","NC",2
"1236","Rush County","USA","IN",1
"1237","Russell County","USA","VA",1
"1238","Rutherford County","USA","NC",2
"1239","Rutherford County","USA","TN",1
"1240","Rutland County","USA","VT",1
"1241","Sacramento County","USA","CA",5
"1242","Sagadahoc County","USA","ME",2
"1243","Saginaw County","USA","MI",1
"1244","Saipan Municipality","USA","MP",1
"1245","Salem County","USA","NJ",2
"1246","Saline County","USA","AR",1
"1247","Saline County","USA","IL",1
"1248","Saline County","USA","KS",1
"1249","Saline County","USA","MO",1
"1250","Salt Lake County","USA","UT",2
"1251","Sampson County","USA","NC",1
"1252","San Benito County","USA","CA",1
"1253","San Bernardino County","USA","CA",22
"1254","San Diego County","USA","CA",25
"1255","San Francisco County","USA","CA",1
"1256","San Jacinto County","USA","TX",1
"1257","San Joaquin County","USA","CA",7
"1258","San Juan County","USA","NM",2
"1259","San Juan County","USA","WA",3
"1260","San Juan Municipio","USA","PR",1
"1261","San Luis Obispo County","USA","CA",6
"1262","San Luis Potosí","Mexico","(Missing)",1
"1263","San Mateo County","USA","CA",9
"1264","San Miguel County","USA","CO",2
"1265","San Miguel County","USA","NM",1
"1266","San Patricio County","USA","TX",2
"1267","Sanders County","USA","MT",1
"1268","Sandoval County","USA","NM",1
"1269","Sandusky County","USA","OH",1
"1270","Sangamon County","USA","IL",3
"1271","Santa Barbara County","USA","CA",6
"1272","Santa Clara County","USA","CA",12
"1273","Santa Cruz County","USA","AZ",1
"1274","Santa Cruz County","USA","CA",3
"1275","Santa Fe County","USA","NM",3
"1276","Santa Rosa County","USA","FL",1
"1277","Sarasota County","USA","FL",1
"1278","Saratoga County","USA","NY",3
"1279","Sarpy County","USA","NE",2
"1280","Saskatchewan","Canada","SK",7
"1281","Sauk County","USA","WI",2
"1282","Sawyer County","USA","WI",1
"1283","Schenectady County","USA","NY",2
"1284","Schoharie County","USA","NY",1
"1285","Schuyler County","USA","IL",1
"1286","Schuylkill County","USA","PA",3
"1287","Scioto County","USA","OH",1
"1288","Scotland","UK","(Missing)",21
"1289","Scotland County","USA","NC",1
"1290","Scott County","USA","IA",2
"1291","Scott County","USA","KY",1
"1292","Scotts Bluff County","USA","NE",1
"1293","Sebastian County","USA","AR",1
"1294","Sedgwick County","USA","KS",2
"1295","Seminole County","USA","FL",2
"1296","Seneca County","USA","OH",2
"1297","Seward County","USA","KS",1
"1298","Shannon County","USA","SD",1
"1299","Shasta County","USA","CA",1
"1300","Shawano County","USA","WI",1
"1301","Shawnee County","USA","KS",1
"1302","Sheboygan County","USA","WI",2
"1303","Shelby County","USA","KY",1
"1304","Shelby County","USA","OH",1
"1305","Shelby County","USA","TN",4
"1306","Shelby County","USA","TX",1
"1307","Sherburne County","USA","MN",1
"1308","Sheridan County","USA","WY",1
"1309","Shiawassee County","USA","MI",1
"1310","Silver Bow County","USA","MT",1
"1311","Simpson County","USA","KY",1
"1312","Siskiyou County","USA","CA",2
"1313","Sitka City and Borough","USA","AK",1
"1314","Skagit County","USA","WA",3
"1315","Skagway Municipality","USA","AK",1
"1316","Skamania County","USA","WA",1
"1317","Smith County","USA","TX",1
"1318","Smyth County","USA","VA",1
"1319","Snohomish County","USA","WA",12
"1320","Snyder County","USA","PA",1
"1321","Socorro County","USA","NM",1
"1322","Solano County","USA","CA",5
"1323","Somerset County","USA","ME",1
"1324","Somerset County","USA","NJ",6
"1325","Somerset County","USA","PA",1
"1326","Sonoma County","USA","CA",9
"1327","South Australia","Australia","(Missing)",1
"1328","Spalding County","USA","GA",1
"1329","Spartanburg County","USA","SC",1
"1330","Spokane County","USA","WA",1
"1331","St. Charles County","USA","MO",4
"1332","St. Clair County","USA","IL",6
"1333","St. Clair County","USA","MI",1
"1334","St. Croix County","USA","WI",1
"1335","St. Croix Island","USA","VI",1
"1336","St. Francis County","USA","AR",1
"1337","St. Francois County","USA","MO",1
"1338","St. John Island","USA","VI",1
"1339","St. Johns County","USA","FL",3
"1340","St. Joseph County","USA","IN",3
"1341","St. Joseph County","USA","MI",1
"1342","St. Lawrence County","USA","NY",4
"1343","St. Louis city","USA","MO",1
"1344","St. Louis County","USA","MN",4
"1345","St. Louis County","USA","MO",17
"1346","St. Lucie County","USA","FL",2
"1347","St. Mary's County","USA","MD",2
"1348","St. Mary Parish","USA","LA",1
"1349","St. Tammany Parish","USA","LA",2
"1350","St. Thomas Island","USA","VI",1
"1351","Stafford County","USA","VA",1
"1352","Stanislaus County","USA","CA",6
"1353","Stanly County","USA","NC",1
"1354","Stark County","USA","ND",1
"1355","Stark County","USA","OH",3
"1356","Starr County","USA","TX",1
"1357","Staunton city","USA","VA",1
"1358","Stearns County","USA","MN",1
"1359","Steele County","USA","MN",1
"1360","Stephens County","USA","GA",1
"1361","Stephens County","USA","OK",1
"1362","Stephenson County","USA","IL",1
"1363","Steuben County","USA","IN",1
"1364","Steuben County","USA","NY",3
"1365","Stevens County","USA","WA",1
"1366","Stokes County","USA","NC",2
"1367","Story County","USA","IA",1
"1368","Strafford County","USA","NH",2
"1369","Stutsman County","USA","ND",1
"1370","Sublette County","USA","WY",1
"1371","Suffolk city","USA","VA",2
"1372","Suffolk County","USA","MA",6
"1373","Suffolk County","USA","NY",37
"1374","Sullivan County","USA","NH",3
"1375","Sullivan County","USA","NY",4
"1376","Sullivan County","USA","TN",2
"1377","Summit County","USA","CO",1
"1378","Summit County","USA","OH",6
"1379","Summit County","USA","UT",1
"1380","Sumner County","USA","KS",1
"1381","Sumner County","USA","TN",1
"1382","Sumter County","USA","GA",1
"1383","Sumter County","USA","SC",1
"1384","Surry County","USA","NC",2
"1385","Sussex County","USA","DE",4
"1386","Sussex County","USA","NJ",3
"1387","Sutter County","USA","CA",1
"1388","Suwannee County","USA","FL",1
"1389","Swain County","USA","NC",1
"1390","Sweetwater County","USA","WY",1
"1391","Talbot County","USA","MD",1
"1392","Talladega County","USA","AL",2
"1393","Tallapoosa County","USA","AL",1
"1394","Taney County","USA","MO",1
"1395","Tangipahoa Parish","USA","LA",1
"1396","Taos County","USA","NM",1
"1397","Tarrant County","USA","TX",7
"1398","Tasmania","Australia","(Missing)",2
"1399","Taylor County","USA","KY",1
"1400","Taylor County","USA","TX",1
"1401","Tazewell County","USA","IL",1
"1402","Tazewell County","USA","VA",1
"1403","Tehama County","USA","CA",1
"1404","Terrebonne Parish","USA","LA",1
"1405","Teton County","USA","ID",1
"1406","Teton County","USA","WY",1
"1407","Texas County","USA","OK",1
"1408","Thomas County","USA","GA",1
"1409","Thurston County","USA","WA",1
"1410","Tift County","USA","GA",1
"1411","Tillamook County","USA","OR",3
"1412","Tioga County","USA","PA",1
"1413","Tippah County","USA","MS",1
"1414","Tippecanoe County","USA","IN",1
"1415","Tipton County","USA","TN",1
"1416","Titus County","USA","TX",1
"1417","Tolland County","USA","CT",8
"1418","Tom Green County","USA","TX",1
"1419","Tompkins County","USA","NY",2
"1420","Toombs County","USA","GA",1
"1421","Towns County","USA","GA",1
"1422","Transylvania County","USA","NC",1
"1423","Travis County","USA","TX",3
"1424","Trinity County","USA","CA",1
"1425","Troup County","USA","GA",1
"1426","Trumbull County","USA","OH",1
"1427","Tulare County","USA","CA",3
"1428","Tulsa County","USA","OK",3
"1429","Tuolumne County","USA","CA",1
"1430","Tuscaloosa County","USA","AL",1
"1431","Tuscarawas County","USA","OH",2
"1432","Tuscola County","USA","MI",1
"1433","Twiggs County","USA","GA",1
"1434","Twin Falls County","USA","ID",1
"1435","Tyler County","USA","TX",1
"1436","Ulster County","USA","NY",4
"1437","Umatilla County","USA","OR",4
"1438","Union County","USA","AR",1
"1439","Union County","USA","IA",1
"1440","Union County","USA","IL",1
"1441","Union County","USA","MS",1
"1442","Union County","USA","NC",2
"1443","Union County","USA","NJ",14
"1444","Union County","USA","OH",1
"1445","Union County","USA","OR",1
"1446","Union County","USA","PA",2
"1447","Upshur County","USA","WV",1
"1448","Utah County","USA","UT",2
"1449","Uvalde County","USA","TX",1
"1450","Val Verde County","USA","TX",1
"1451","Valdez-Cordova Census Area","USA","AK",1
"1452","Valley County","USA","ID",1
"1453","Van Buren County","USA","MI",1
"1454","Van Wert County","USA","OH",1
"1455","Van Zandt County","USA","TX",1
"1456","Vance County","USA","NC",1
"1457","Vanderburgh County","USA","IN",1
"1458","Venango County","USA","PA",3
"1459","Ventura County","USA","CA",6
"1460","Veracruz","Mexico","(Missing)",1
"1461","Vermilion County","USA","IL",2
"1462","Vernon County","USA","MO",1
"1463","Vernon County","USA","WI",1
"1464","Vernon Parish","USA","LA",1
"1465","Victoria","Australia","(Missing)",4
"1466","Victoria County","USA","TX",1
"1467","Vigo County","USA","IN",1
"1468","Vilas County","USA","WI",1
"1469","Virginia Beach city","USA","VA",1
"1470","Volusia County","USA","FL",6
"1471","Wabash County","USA","IN",1
"1472","Wake County","USA","NC",6
"1473","Waldo County","USA","ME",1
"1474","Wales","UK","(Missing)",25
"1475","Walker County","USA","AL",1
"1476","Walker County","USA","TX",1
"1477","Walla Walla County","USA","WA",1
"1478","Wallowa County","USA","OR",1
"1479","Walton County","USA","FL",2
"1480","Walton County","USA","GA",2
"1481","Walworth County","USA","WI",4
"1482","Wapello County","USA","IA",1
"1483","Ward County","USA","ND",1
"1484","Ware County","USA","GA",1
"1485","Warren County","USA","IA",1
"1486","Warren County","USA","IL",1
"1487","Warren County","USA","KY",1
"1488","Warren County","USA","MS",1
"1489","Warren County","USA","NJ",3
"1490","Warren County","USA","NY",2
"1491","Warren County","USA","OH",3
"1492","Warren County","USA","PA",1
"1493","Warren County","USA","TN",1
"1494","Warren County","USA","VA",1
"1495","Wasco County","USA","OR",1
"1496","Waseca County","USA","MN",1
"1497","Washington County","USA","AR",2
"1498","Washington County","USA","GA",1
"1499","Washington County","USA","MD",1
"1500","Washington County","USA","ME",2
"1501","Washington County","USA","MN",3
"1502","Washington County","USA","NY",1
"1503","Washington County","USA","OH",1
"1504","Washington County","USA","OK",1
"1505","Washington County","USA","OR",5
"1506","Washington County","USA","PA",3
"1507","Washington County","USA","RI",6
"1508","Washington County","USA","TN",1
"1509","Washington County","USA","TX",1
"1510","Washington County","USA","UT",1
"1511","Washington County","USA","VA",1
"1512","Washington County","USA","VT",2
"1513","Washington County","USA","WI",1
"1514","Washoe County","USA","NV",1
"1515","Washtenaw County","USA","MI",6
"1516","Watauga County","USA","NC",1
"1517","Waukesha County","USA","WI",5
"1518","Waupaca County","USA","WI",1
"1519","Wayne County","USA","IN",1
"1520","Wayne County","USA","MI",13
"1521","Wayne County","USA","NC",1
"1522","Wayne County","USA","OH",1
"1523","Wayne County","USA","PA",2
"1524","Waynesboro city","USA","VA",1
"1525","Weakley County","USA","TN",1
"1526","Webb County","USA","TX",1
"1527","Weber County","USA","UT",1
"1528","Webster County","USA","IA",1
"1529","Webster Parish","USA","LA",1
"1530","Weld County","USA","CO",1
"1531","West Baton Rouge Parish","USA","LA",1
"1532","West Feliciana Parish","USA","LA",2
"1533","Westchester County","USA","NY",18
"1534","Western Australia","Australia","(Missing)",4
"1535","Western District","USA","AS",1
"1536","Westmoreland County","USA","PA",10
"1537","Westmoreland County","USA","VA",2
"1538","Wexford County","USA","MI",1
"1539","Wharton County","USA","TX",1
"1540","Whatcom County","USA","WA",1
"1541","White County","USA","AR",1
"1542","White Pine County","USA","NV",1
"1543","Whiteside County","USA","IL",3
"1544","Whitfield County","USA","GA",1
"1545","Whitley County","USA","IN",1
"1546","Whitley County","USA","KY",1
"1547","Whitman County","USA","WA",1
"1548","Wichita County","USA","TX",1
"1549","Wicomico County","USA","MD",1
"1550","Wilbarger County","USA","TX",1
"1551","Wilkes County","USA","NC",2
"1552","Will County","USA","IL",4
"1553","Williams County","USA","ND",1
"1554","Williams County","USA","OH",1
"1555","Williamsburg city","USA","VA",1
"1556","Williamson County","USA","IL",3
"1557","Williamson County","USA","TN",2
"1558","Williamson County","USA","TX",5
"1559","Wilson County","USA","NC",1
"1560","Wilson County","USA","TN",1
"1561","Wilson County","USA","TX",1
"1562","Winchester city","USA","VA",1
"1563","Windham County","USA","CT",5
"1564","Windham County","USA","VT",3
"1565","Windsor County","USA","VT",6
"1566","Winnebago County","USA","IA",1
"1567","Winnebago County","USA","IL",1
"1568","Winnebago County","USA","WI",2
"1569","Winneshiek County","USA","IA",1
"1570","Winona County","USA","MN",1
"1571","Wood County","USA","OH",2
"1572","Wood County","USA","WI",2
"1573","Wood County","USA","WV",1
"1574","Woodbury County","USA","IA",1
