"","Region","Value.properties.Country","State","n"
"261","Clarion County","USA","PA",1
"262","Clark County","USA","AR",1
"263","Clark County","USA","IL",1
"264","Clark County","USA","IN",1
"265","Clark County","USA","KY",1
"266","Clark County","USA","NV",5
"267","Clark County","USA","OH",1
"268","Clark County","USA","WA",5
"269","Clarke County","USA","AL",1
"270","Clarke County","USA","GA",1
"271","Clatsop County","USA","OR",3
"272","Clay County","USA","AL",1
"273","Clay County","USA","IA",1
"274","Clay County","USA","IL",1
"275","Clay County","USA","NE",1
"276","Clay County","USA","SD",1
"277","Clearfield County","USA","PA",2
"278","Clermont County","USA","OH",1
"279","Cleveland County","USA","NC",1
"280","Cleveland County","USA","OK",1
"281","Clinton County","USA","IA",1
"282","Clinton County","USA","NY",1
"283","Clinton County","USA","OH",1
"284","Clinton County","USA","PA",1
"285","Coahoma County","USA","MS",1
"286","Cobb County","USA","GA",4
"287","Cochise County","USA","AZ",3
"288","Cocke County","USA","TN",1
"289","Coconino County","USA","AZ",3
"290","Codington County","USA","SD",1
"291","Colbert County","USA","AL",2
"292","Cole County","USA","MO",1
"293","Coles County","USA","IL",2
"294","Colfax County","USA","NM",2
"295","Colleton County","USA","SC",1
"296","Collier County","USA","FL",4
"297","Collin County","USA","TX",7
"298","Colonial Heights city","USA","VA",1
"299","Colquitt County","USA","GA",1
"300","Columbia County","USA","AR",1
"301","Columbia County","USA","FL",1
"302","Columbia County","USA","GA",1
"303","Columbia County","USA","NY",2
"304","Columbia County","USA","OR",1
"305","Columbia County","USA","PA",1
"306","Columbia County","USA","WI",1
"307","Columbiana County","USA","OH",1
"308","Colusa County","USA","CA",1
"309","Comal County","USA","TX",1
"310","Comanche County","USA","OK",1
"311","Contra Costa County","USA","CA",16
"312","Cook County","USA","IL",32
"313","Cook County","USA","MN",1
"314","Cooper County","USA","MO",1
"315","Coos County","USA","NH",2
"316","Coos County","USA","OR",3
"317","Cortland County","USA","NY",2
"318","Coryell County","USA","TX",1
"319","Coshocton County","USA","OH",1
"320","Covington city","USA","VA",1
"321","Covington County","USA","AL",1
"322","Coweta County","USA","GA",1
"323","Cowley County","USA","KS",1
"324","Cowlitz County","USA","WA",2
"325","Craighead County","USA","AR",1
"326","Craven County","USA","NC",2
"327","Crawford County","USA","AR",1
"328","Crawford County","USA","IA",1
"329","Crawford County","USA","IL",1
"330","Crawford County","USA","KS",1
"331","Crawford County","USA","MI",1
"332","Crawford County","USA","MO",1
"333","Crawford County","USA","OH",1
"334","Crawford County","USA","PA",1
"335","Crawford County","USA","WI",1
"336","Crittenden County","USA","AR",1
"337","Crook County","USA","OR",1
"338","Crow Wing County","USA","MN",1
"339","Cullman County","USA","AL",1
"340","Culpeper County","USA","VA",1
"341","Cumberland County","USA","ME",5
"342","Cumberland County","USA","NC",1
"343","Cumberland County","USA","NJ",2
"344","Cumberland County","USA","PA",4
"345","Curry County","USA","NM",1
"346","Curry County","USA","OR",1
"347","Custer County","USA","CO",1
"348","Custer County","USA","OK",1
"349","Cuyahoga County","USA","OH",11
"350","Dakota County","USA","MN",5
"351","Dallas County","USA","AL",1
"352","Dallas County","USA","TX",12
"353","Dane County","USA","WI",8
"354","Danville city","USA","VA",1
"355","Dare County","USA","NC",1
"356","Darke County","USA","OH",1
"357","Darlington County","USA","SC",1
"358","Dauphin County","USA","PA",2
"359","Davidson County","USA","NC",1
"360","Davidson County","USA","TN",1
"361","Daviess County","USA","IN",1
"362","Daviess County","USA","KY",1
"363","Davis County","USA","UT",1
"364","Davison County","USA","SD",1
"365","Dawes County","USA","NE",1
"366","Dawson County","USA","MT",1
"367","Defiance County","USA","OH",1
"368","DeKalb County","USA","AL",1
"369","DeKalb County","USA","GA",2
"370","DeKalb County","USA","IL",2
"371","DeKalb County","USA","IN",1
"372","Del Norte County","USA","CA",1
"373","Delaware County","USA","IN",1
"374","Delaware County","USA","NY",6
"375","Delaware County","USA","OH",1
"376","Delaware County","USA","OK",1
"377","Delaware County","USA","PA",8
"378","Delta County","USA","MI",1
"379","Denali Borough","USA","AK",1
"380","Denton County","USA","TX",7
"381","Denver County","USA","CO",1
"382","Des Moines County","USA","IA",1
"383","Deschutes County","USA","OR",3
"384","DeSoto County","USA","MS",2
"385","Dickinson County","USA","MI",1
"386","Dickson County","USA","TN",1
"387","Dillingham Census Area","USA","AK",1
"388","Dillon County","USA","SC",1
"389","District of Columbia","USA","DC",1
"390","Doña Ana County","USA","NM",1
"391","Dodge County","USA","NE",1
"392","Dodge County","USA","WI",2
"393","Door County","USA","WI",2
"394","Dorchester County","USA","MD",1
"395","Dorchester County","USA","SC",1
"396","Dougherty County","USA","GA",1
"397","Douglas County","USA","CO",2
"398","Douglas County","USA","GA",1
"399","Douglas County","USA","IL",1
"400","Douglas County","USA","KS",1
"401","Douglas County","USA","MN",1
"402","Douglas County","USA","NE",1
"403","Douglas County","USA","NV",1
"404","Douglas County","USA","OR",1
"405","Douglas County","USA","WI",1
"406","Drew County","USA","AR",1
"407","Dubois County","USA","IN",1
"408","Dubuque County","USA","IA",1
"409","Duchesne County","USA","UT",1
"410","Dukes County","USA","MA",2
"411","Dunn County","USA","WI",1
"412","DuPage County","USA","IL",7
"413","Durham County","USA","NC",1
"414","Dutchess County","USA","NY",6
"415","Duval County","USA","FL",2
"416","Eagle County","USA","CO",1
"417","East Baton Rouge Parish","USA","LA",1
"418","Eau Claire County","USA","WI",1
"419","Ector County","USA","TX",1
"420","Eddy County","USA","NM",1
"421","Edgefield County","USA","SC",1
"422","Effingham County","USA","IL",1
"423","El Dorado County","USA","CA",3
"424","El Paso County","USA","CO",1
"425","El Paso County","USA","TX",1
"426","Elk County","USA","PA",2
"427","Elkhart County","USA","IN",2
"428","Elko County","USA","NV",1
"429","Ellis County","USA","KS",1
"430","Ellis County","USA","TX",3
"431","Emmet County","USA","MI",1
"432","England","UK","(Missing)",133
"433","Erath County","USA","TX",1
"434","Erie County","USA","NY",2
"435","Erie County","USA","OH",1
"436","Erie County","USA","PA",3
"437","Escambia County","USA","AL",1
"438","Escambia County","USA","FL",1
"439","Essex County","USA","MA",16
"440","Essex County","USA","NJ",14
"441","Essex County","USA","NY",6
"442","Essex County","USA","VT",1
"443","Etowah County","USA","AL",1
"444","Fairbanks North Star Borough","USA","AK",1
"445","Fairfax city","USA","VA",1
"446","Fairfax County","USA","VA",6
"447","Fairfield County","USA","CT",16
"448","Fairfield County","USA","OH",1
"449","Falls Church city","USA","VA",1
"450","Faroe Islands","Denmark","(Missing)",1
"451","Faulkner County","USA","AR",1
"452","Fauquier County","USA","VA",1
"453","Fayette County","USA","GA",1
"454","Fayette County","USA","IL",1
"455","Fayette County","USA","KY",1
"456","Fayette County","USA","PA",2
"457","Fayette County","USA","TX",1
"458","Fayette County","USA","WV",2
"459","Federal District","Mexico","(Missing)",1
"460","Finney County","USA","KS",1
"461","Flagler County","USA","FL",1
"462","Flathead County","USA","MT",3
"463","Florence County","USA","SC",1
"464","Floyd County","USA","GA",1
"465","Floyd County","USA","IA",1
"466","Floyd County","USA","IN",1
"467","Floyd County","USA","VA",1
"468","Fond du Lac County","USA","WI",2
"469","Ford County","USA","IL",1
"470","Ford County","USA","KS",1
"471","Forrest County","USA","MS",2
"472","Forsyth County","USA","GA",1
"473","Forsyth County","USA","NC",1
"474","Fort Bend County","USA","TX",1
"475","Franklin city","USA","VA",1
"476","Franklin County","USA","IL",1
"477","Franklin County","USA","KY",1
"478","Franklin County","USA","MA",3
"479","Franklin County","USA","ME",1
"480","Franklin County","USA","MO",3
"481","Franklin County","USA","NY",2
"482","Franklin County","USA","OH",9
"483","Franklin County","USA","PA",3
"484","Franklin County","USA","TN",2
"485","Franklin County","USA","VA",1
"486","Franklin County","USA","VT",1
"487","Franklin County","USA","WA",1
