Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CO-009,,47.8,116,6,41.8
CO-011,,47.7,116,6.1,41.6
CO-013,,37.4,106,4.5,32.9
CO-014,,43.1,106,4.6,38.5
CO-015,,31.2,111,4.4,26.8
CO-017,,44.4,114,5.6,38.8
CO-019,,30.7,112,5.1,25.6
CO-021,,34.4,112,4.8,29.6
CO-023,,36.6,115,5.4,31.2
CO-025,,45.6,116,5.8,39.8
CO-027,,35.6,113,5.4,30.2
CO-029,,40.4,115,5.4,35
CO-031,,43,106,4.6,38.4
CO-033,,35.8,109,4.1,31.7
CO-035,,39.2,101,4,35.2
CO-037,,32.5,112,4.8,27.7
CO-039,,40.2,109,4.9,35.3
CO-041,,41,112,5.2,35.8
CO-043,,38.6,106,4.2,34.4
CO-045,,36.2,112,4.8,31.4
CO-047,,32.2,110,4.4,27.8
CO-049,,30.3,111,5,25.3
CO-051,,31.4,112,5.2,26.2
CO-053,,28.5,110,4.5,24
CO-055,,41.3,118,5.8,35.5
CO-057,,30.1,115,5.8,24.3
CO-059,,38.5,100,4,34.5
CO-061,,45.7,115,5.5,40.2
CO-063,,44,113,5.8,38.2
CO-065,,26.6,107,3.8,22.8
CO-067,,37.4,107,3.8,33.6
CO-069,,34.8,112,5.1,29.7
CO-071,,45.7,117,6.2,39.5
CO-073,,42.6,114,5.1,37.5
CO-075,,41.4,105,4.4,37
CO-077,,40.6,113,5.2,35.4
CO-079,,29.6,111,4.6,25
CO-081,,35.9,110,4.7,31.2
CO-083,,41.2,107,3.9,37.3
CO-085,,40.8,112,5.3,35.5
CO-087,,41.6,109,5.1,36.5
CO-089,,47.6,117,6.1,41.5
CO-091,,34.9,114,5.5,29.4
CO-093,,31.2,105,4.3,26.9
CO-095,,42.1,108,5.2,36.9
CO-097,,30.7,112,4.6,26.1
CO-099,,47.3,115,5.7,41.6
CO-101,,45.7,116,5.3,40.4
CO-103,,36.7,111,4.8,31.9
CO-105,,33.6,112,4.7,28.9
CO-107,,32.7,114,5.5,27.2
CO-109,,32.7,112,4.4,28.3
CO-111,,27.8,109,4.3,23.5
CO-113,,38,112,5,33
CO-115,,41.8,104,4.8,37
CO-117,,29.1,114,5.4,23.7
CO-119,,33.1,105,4.4,28.7
CO-121,,41.6,102,4.6,37
CO-123,,40.7,105,4.5,36.2
CO-125,,43.3,109,5.4,37.9
CT-001,,43.1,119,6.4,36.7
CT-003,,41.9,118,6.2,35.7
CT-005,,39.2,116,5.9,33.3
CT-007,,42.6,117,6.3,36.3
CT-009,,42.5,119,6.2,36.3
CT-011,,42.6,118,6.4,36.2
CT-013,,41.3,118,6.3,35
CT-015,,41.3,117,6.1,35.2
DE-001,,49.4,121,6.7,42.7
DE-003,,48.4,121,6.8,41.6
DE-005,,50.1,123,6.8,43.3
FL-001,,69.1,125,6.8,62.3
FL-003,,68.6,126,7.8,60.8
FL-005,,69.4,126,9.1,60.3
FL-007,,69.3,126,7.6,61.7
FL-009,,72,124,6.4,65.6
FL-011,,74.7,124,5.5,69.2
FL-013,,68.9,126,9,59.9
FL-015,,72.9,123,5.6,67.3
FL-017,,70.9,126,7.3,63.6
FL-019,,70.5,126,8.7,61.8
FL-021,,73.2,121,4.6,68.6
FL-023,,67.7,123,6.7,61
FL-027,,72,123,5.4,66.6
FL-029,,68,123,6.6,61.4
FL-031,,70.2,126,9.2,61
FL-033,,69,126,9.2,59.8
FL-035,,71.4,126,8.3,63.1
FL-037,,69.6,126,9.1,60.5
FL-039,,68.6,126,8.8,59.8
FL-041,,68.1,122,6.5,61.6
FL-043,,72.8,124,5.5,67.3
FL-045,,69.7,126,9.3,60.4
FL-047,,67.4,123,7,60.4
FL-049,,71.9,123,5.8,66.1
FL-051,,73.2,124,5.2,68
FL-053,,71.9,126,7.8,64.1
FL-055,,72.6,123,6,66.6
FL-057,,72.7,126,7.2,65.5
FL-059,,68.9,126,9.5,59.4
FL-061,,71.8,123,5.7,66.1
FL-063,,68.6,126,8.7,59.9
FL-065,,68.4,126,8.4,60
FL-067,,67.4,121,6.5,60.9
FL-069,,72,126,7.4,64.6
FL-071,,73.5,123,5.5,68
FL-073,,68.9,126,8.9,60
FL-075,,69.2,124,6.9,62.3
FL-077,,69.1,126,9.1,60
FL-079,,67.5,124,7.4,60.1
FL-081,,71.9,124,5.9,66
FL-083,,70.6,126,7.2,63.4
FL-085,,73.5,124,5.8,67.7
FL-086,,74.6,123,5,69.6
FL-087,,74.7,121,4.7,70
FL-089,,69.2,126,8.8,60.4
FL-091,,68.5,126,9.3,59.2
FL-093,,72.3,124,5.7,66.6
FL-095,,72.4,126,7,65.4
FL-097,,72.4,126,6.5,65.9
FL-099,,74.4,125,6,68.4
FL-101,,72.3,126,7.7,64.6
FL-103,,73.1,126,7.3,65.8
FL-105,,72.4,125,6.6,65.8
FL-107,,71,126,8.2,62.8
FL-109,,71,126,9,62
FL-111,,72.4,123,5.4,67
FL-113,,68.8,126,9.1,59.7
FL-115,,71.5,121,4.9,66.6
FL-117,,72.4,126,7.2,65.2
FL-119,,71.5,126,7.2,64.3
FL-121,,67.3,121,6.4,60.9
FL-123,,68,125,7.3,60.7
FL-125,,68.4,124,7,61.4
FL-127,,71.7,126,7.5,64.2
FL-129,,69,126,8.7,60.3
FL-131,,68.7,126,9.5,59.2
FL-133,,68.9,126,9,59.9
GA-001,,66,124,7.7,58.3
GA-003,,67,125,8.3,58.7
GA-005,,66.2,124,7.7,58.5
GA-007,,67.8,125,9.1,58.7
GA-009,,62.4,121,7.4,55
GA-011,,57.1,116,5.6,51.5
GA-013,,57.9,117,6.2,51.7
GA-015,,58.2,122,7.1,51.1
GA-017,,66.4,125,8.9,57.5
GA-019,,66.9,125,8.4,58.5
GA-021,,63.7,123,8.5,55.2
GA-023,,64.3,122,7.9,56.4
GA-025,,66.6,124,7.7,58.9
GA-027,,67.3,125,8.1,59.2
GA-029,,66,124,7.7,58.3
GA-031,,65.1,123,7.8,57.3
GA-033,,63.4,122,7.8,55.6
GA-035,,61.4,122,8.1,53.3
GA-037,,67.3,125,9.1,58.2
GA-039,,67.7,125,7.9,59.8
GA-043,,64.9,123,7.7,57.2
GA-045,,60,123,8.6,51.4
GA-047,,57.2,120,7,50.2
GA-049,,68.1,126,8.1,60
GA-051,,66.4,125,8.2,58.2
GA-053,,64,122,7.9,56.1
GA-055,,58,121,7.1,50.9
GA-057,,57.2,120,6.8,50.4
GA-059,,58.4,118,6.1,52.3
GA-061,,67,125,9.2,57.8
GA-063,,60.6,123,8.2,52.4
GA-065,,67.4,123,7.8,59.6
GA-067,,59,122,7.9,51.1
GA-069,,66.5,125,8.3,58.2
GA-071,,67,126,8.5,58.5
GA-073,,62,121,7.6,54.4
GA-075,,67,126,8.3,58.7
GA-077,,61.2,124,8.7,52.5
GA-079,,63.4,124,8.4,55
GA-081,,66.4,126,9.5,56.9
GA-083,,56,119,6.4,49.6
GA-085,,55.4,118,6.1,49.3
GA-087,,68.4,126,8.9,59.5
GA-089,,59.6,122,7.9,51.7
GA-091,,65.1,125,8.1,57
GA-093,,65.3,125,8.9,56.4
GA-095,,67.4,125,9.1,58.3
GA-097,,60,123,8.6,51.4
GA-099,,68,126,9.3,58.7
GA-101,,67.4,123,7.4,60
GA-103,,65.3,124,7.9,57.4
GA-105,,58.6,119,6.5,52.1
GA-107,,63.9,121,7.3,56.6
GA-109,,65.7,123,7.7,58
GA-111,,53.6,122,6.6,47
GA-113,,61.4,124,8.8,52.6
GA-115,,58.8,122,7.3,51.5
GA-117,,56.5,118,6.2,50.3
GA-119,,57.1,116,5.5,51.6
GA-121,,59.6,123,8.1,51.5
GA-123,,54.3,118,6.3,48
GA-125,,61.8,121,7,54.8
GA-127,,67,124,7.6,59.4
GA-129,,57.5,120,6.5,51
GA-131,,68.1,126,8.8,59.3
GA-133,,59.7,119,6.4,53.3
GA-135,,58,121,6.8,51.2
GA-137,,55.3,116,5.6,49.7
GA-139,,56.5,117,5.8,50.7
GA-141,,61.2,120,6.8,54.4
GA-143,,59.6,123,8.8,50.8
GA-145,,62.2,122,7.9,54.3
GA-147,,57.6,118,6.1,51.5
GA-149,,60.4,122,7.9,52.5
GA-151,,60.9,122,8,52.9
GA-153,,64.4,124,8.3,56.1
GA-155,,66.6,125,8.9,57.7
GA-157,,57.8,117,6,51.8
GA-159,,61.2,122,7.8,53.4
GA-161,,65.9,125,8.1,57.8
GA-163,,62.5,121,7.1,55.4
GA-165,,63.8,124,7.8,56
GA-167,,63.2,121,6.9,56.3
GA-169,,62.7,123,8.2,54.5
GA-171,,62.2,123,8.6,53.6
GA-173,,67,124,7.9,59.1
GA-175,,64.3,121,7.6,56.7
GA-177,,66.8,126,9.2,57.6
GA-179,,66,123,7.4,58.6
GA-181,,60.4,120,7,53.4
GA-183,,66,122,7.2,58.8
GA-185,,67.1,124,7.8,59.3
GA-187,,54.7,119,6.2,48.5
GA-189,,61.3,120,7.2,54.1
GA-191,,66.5,124,7.5,59
GA-193,,64.4,125,8.5,55.9
GA-195,,57.8,118,6,51.8
GA-197,,63.6,122,8,55.6
GA-199,,61.7,123,8.3,53.4
GA-201,,68.2,126,9.2,59
GA-205,,67.6,125,8.8,58.8
GA-207,,62.6,123,8.5,54.1
GA-209,,65.1,123,7.8,57.3
GA-211,,59.6,120,6.6,53
GA-213,,56.6,120,6.7,49.9
GA-215,,63.6,122,7.9,55.7
GA-217,,60,121,7.3,52.7
GA-219,,58.8,119,6.3,52.5
GA-221,,58.6,118,6.2,52.4
GA-223,,59.2,122,8.1,51.1
GA-225,,63.8,124,8.3,55.5
GA-227,,55.7,118,6.3,49.4
GA-229,,66.5,124,7.7,58.8
GA-231,,62.2,124,8.7,53.5
