,Country_Region,Date,Total_Cases,Month,Avg_Temp,Protest_Count,FIPS,PopMale,PopFemale,PopTotal,PopDensity,Area.sq.km
7226,Sri Lanka,2020-06-12,1880,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7227,Sri Lanka,2020-06-13,1884,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7228,Sri Lanka,2020-06-14,1889,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7229,Sri Lanka,2020-06-15,1905,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7230,Sri Lanka,2020-06-16,1915,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7231,Sri Lanka,2020-06-17,1924,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7232,Sri Lanka,2020-06-18,1947,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7233,Sri Lanka,2020-06-19,1950,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7234,Sri Lanka,2020-06-20,1950,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7235,Sri Lanka,2020-06-21,1950,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7236,Sri Lanka,2020-06-22,1951,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7237,Sri Lanka,2020-06-23,1991,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7238,Sri Lanka,2020-06-24,2001,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7239,Sri Lanka,2020-06-25,2010,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7240,Sri Lanka,2020-06-26,2014,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7241,Sri Lanka,2020-06-27,2033,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7242,Sri Lanka,2020-06-28,2037,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7243,Sri Lanka,2020-06-29,2039,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7244,Sri Lanka,2020-06-30,2047,2020-06,26.45,1.0,144,10267.350999999999,11145.899000000003,21413.25,341.4650000000001,62.709940989559676
7245,Sweden,2020-01-22,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7246,Sweden,2020-01-23,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7247,Sweden,2020-01-24,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7248,Sweden,2020-01-25,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7249,Sweden,2020-01-26,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7250,Sweden,2020-01-27,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7251,Sweden,2020-01-28,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7252,Sweden,2020-01-29,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7253,Sweden,2020-01-30,0,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7254,Sweden,2020-01-31,1,2020-01,-6.574999999999998,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7255,Sweden,2020-02-01,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7256,Sweden,2020-02-02,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7257,Sweden,2020-02-03,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7258,Sweden,2020-02-04,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7259,Sweden,2020-02-05,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7260,Sweden,2020-02-06,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7261,Sweden,2020-02-07,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7262,Sweden,2020-02-08,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7263,Sweden,2020-02-09,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7264,Sweden,2020-02-10,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7265,Sweden,2020-02-11,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7266,Sweden,2020-02-12,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7267,Sweden,2020-02-13,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7268,Sweden,2020-02-14,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7269,Sweden,2020-02-15,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7270,Sweden,2020-02-16,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7271,Sweden,2020-02-17,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7272,Sweden,2020-02-18,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7273,Sweden,2020-02-19,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7274,Sweden,2020-02-20,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7275,Sweden,2020-02-21,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7276,Sweden,2020-02-22,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7277,Sweden,2020-02-23,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7278,Sweden,2020-02-24,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7279,Sweden,2020-02-25,1,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7280,Sweden,2020-02-26,2,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7281,Sweden,2020-02-27,7,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7282,Sweden,2020-02-28,7,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7283,Sweden,2020-02-29,12,2020-02,-6.00625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7284,Sweden,2020-03-01,14,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7285,Sweden,2020-03-02,15,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7286,Sweden,2020-03-03,21,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7287,Sweden,2020-03-04,35,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7288,Sweden,2020-03-05,94,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7289,Sweden,2020-03-06,101,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7290,Sweden,2020-03-07,161,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7291,Sweden,2020-03-08,203,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7292,Sweden,2020-03-09,248,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7293,Sweden,2020-03-10,355,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7294,Sweden,2020-03-11,500,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7295,Sweden,2020-03-12,599,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7296,Sweden,2020-03-13,814,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7297,Sweden,2020-03-14,961,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7298,Sweden,2020-03-15,1022,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7299,Sweden,2020-03-16,1103,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7300,Sweden,2020-03-17,1190,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7301,Sweden,2020-03-18,1279,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7302,Sweden,2020-03-19,1439,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7303,Sweden,2020-03-20,1639,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7304,Sweden,2020-03-21,1763,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7305,Sweden,2020-03-22,1934,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7306,Sweden,2020-03-23,2046,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7307,Sweden,2020-03-24,2286,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7308,Sweden,2020-03-25,2526,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7309,Sweden,2020-03-26,2840,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7310,Sweden,2020-03-27,3069,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7311,Sweden,2020-03-28,3447,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7312,Sweden,2020-03-29,3700,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7313,Sweden,2020-03-30,4028,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7314,Sweden,2020-03-31,4435,2020-03,-2.4375000000000004,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7315,Sweden,2020-04-01,4947,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7316,Sweden,2020-04-02,5568,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7317,Sweden,2020-04-03,6131,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7318,Sweden,2020-04-04,6443,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7319,Sweden,2020-04-05,6830,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7320,Sweden,2020-04-06,7206,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7321,Sweden,2020-04-07,7693,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7322,Sweden,2020-04-08,8419,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7323,Sweden,2020-04-09,9141,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7324,Sweden,2020-04-10,9685,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7325,Sweden,2020-04-11,10151,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7326,Sweden,2020-04-12,10483,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7327,Sweden,2020-04-13,10948,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7328,Sweden,2020-04-14,11445,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7329,Sweden,2020-04-15,11927,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7330,Sweden,2020-04-16,12540,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7331,Sweden,2020-04-17,13216,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7332,Sweden,2020-04-18,13822,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7333,Sweden,2020-04-19,14385,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7334,Sweden,2020-04-20,14777,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7335,Sweden,2020-04-21,15322,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7336,Sweden,2020-04-22,16004,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7337,Sweden,2020-04-23,16755,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7338,Sweden,2020-04-24,17567,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7339,Sweden,2020-04-25,18177,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7340,Sweden,2020-04-26,18640,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7341,Sweden,2020-04-27,18926,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7342,Sweden,2020-04-28,19621,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
7343,Sweden,2020-04-29,20302,2020-04,2.3625,5.0,752,5058.947,5040.323000000002,10099.270000000002,24.612000000000002,410.33926539899244
